Local government area,LGA_CODE22,State,Households - at 2021,Current unmet need - Estimate,Current unmet need - % all households,Source of unmet need - Q1  rent stress,Source of unmet need - Q2  rent stress,Source of unmet need - Manifest (homeless),Current social housing - at 2021,Current social housing - % all need (met+unmet),Projected need by 2041 - Estimate,Projected need by 2041 - As annual SH growth,Projected need by 2041 - As average annual build
Roxby Downs,46970,SA,1300,<100,0.014,0.604,0.395,0.002,negligible,-,<100,-,<100
Salisbury,47140,SA,54000,3400,0.062,0.782,0.185,0.033,3500,0.509,4600,0.043,200-300
Southern Mallee,47290,SA,900,<100,0.048,0.445,0,0.555,negligible,-,<100,-,<100
Streaky Bay,47490,SA,800,<100,0.012,0,0.808,0.192,negligible,-,<100,-,<100
Tatiara,47630,SA,2700,100,0.034,0.519,0.204,0.277,100,0.401,100,0.049,<100
Tea Tree Gully,47700,SA,39200,1500,0.039,0.707,0.251,0.043,1300,0.466,2000,0.047,100-200
Coorong,47800,SA,2400,100,0.06,0.389,0.362,0.249,100,0.412,200,0.048,<100
Tumby Bay,47910,SA,1200,100,0.067,0.39,0.599,0.01,negligible,-,100,-,<100
Unley,47980,SA,15800,600,0.039,0.594,0.399,0.007,500,0.464,800,0.048,<100
Victor Harbor,48050,SA,7300,600,0.077,0.635,0.363,0.003,100,0.208,600,0.084,<100
Wakefield,48130,SA,2800,200,0.067,0.661,0.293,0.046,negligible,-,200,-,<100
Walkerville,48260,SA,3300,100,0.032,0.504,0.486,0.01,200,0.608,200,0.034,<100
Wattle Range,48340,SA,5000,200,0.041,0.57,0.354,0.076,200,0.465,200,0.041,<100
West Torrens,48410,SA,25700,1400,0.056,0.576,0.361,0.062,1500,0.506,1900,0.043,<100
Whyalla,48540,SA,9500,400,0.046,0.776,0.224,0.001,1700,0.793,500,0.014,<100
Wudinna,48640,SA,400,-,-,-,-,-,-,-,-,-,-
Yankalilla,48750,SA,2600,200,0.081,0.566,0.42,0.014,negligible,-,200,-,<100
